ORDRE;uai_mail;bdd iMFR;num_bee_etablissements;RNE iMFR;uai_code_educnationale;;Mail;uai_mail;uai_code_region;uai_region;uai_code_departement;uai_departement;uai_libelle_administratif;uai_libelle_communication;uai_debut_validite;uai_fin_validite;uai_siteweb;uai_telephone;uai_mail;uai_fax;uai_ministere_principal;uai_secteur;uai_nature;uaiprive_orgaffiliation;uaiprive_typecontrat;uai_code_siret;uai_libelle_educnationale;uai_eleve;uai_etudiant;uai_adulte;uai_apprenti;uai_code_commume;uai_commune;adressepostale_ligne1;adressepostale_ligne2;adressepostale_ligne3;adressepostale_ligne4;adressepostale_ligne5;adressepostale_ligne6;adressegeographique_ligne1;adressegeographique_ligne2;adressegeographique_ligne3;adressegeographique_ligne4;adressegeographique_ligne5;adressegeographique_ligne6;uai_niveau;uainiveau1_codedger;uainiveau1_libelle_administratif;uainiveau2_codedger;uainiveau2_libelle_administratif;date_jeu_donnees;coord_wgs84_x;coord_wgs84_y;uai_id_cdn;uai_codedger;uai_type;anneesco_cdn;annee_scolaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;saligny;03_salignysurroudon;16198;0030907V;0030907V;;mfr.saligny@mfr.asso.fr;mfr.saligny;84;Auvergne-Rhône-Alpes;03;Allier;MFREO de Saligny sur Roudon;MFR SALIGNY SUR ROUDON;1999-09-01;;www.mfrsaligny.fr;0470422276;mfr.saligny;;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;77905162200016;MAISON FAMILIALE RURALE DE SALIGNY SUR ROUDON;Oui;Non;Non;Oui;03265;SALIGNY SUR ROUDON;MFREO DE SALIGNY SUR ROUDON;;;8 ROUTE DE MONETAY SUR LOIRE;;03470 SALIGNY SUR ROUDON;MFREO DE SALIGNY SUR ROUDON;;;8 ROUTE DE MONETAY SUR LOIRE;;03470 SALIGNY SUR ROUDON;2;00302313;Association de la MFREO de Saligny sur Roudon;;;2020-09-29;3.754693;46.467358;88;00300432;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;st-leopardin;03_stleopardin;16176;0030955X;0030955X;;mfr.st-leopardin@mfr.asso.fr;mfr.st-leopardin;84;Auvergne-Rhône-Alpes;03;Allier;MFREO de St Léopardin d'Augy;MFR Saint Léopardin d'Augy;1999-09-01;;www.mfr.asso.fr;0470662301;mfr.st-leopardin;;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;77904719000011;MAISON FAMILIALE RURALE DE ST LEOPARDIN D'AUGY;Oui;Non;Non;Non;03241;SAINT LEOPARDIN D AUGY;MFR SAINT LEOPARDIN D AUGY;;;LES FORGES;;03160 ST LEOPARDIN D AUGY;MFR SAINT LEOPARDIN D AUGY;;;LES FORGES;;03160 ST LEOPARDIN D AUGY;2;00302214;Association de la MFREO de St Léopardin d'Augy;;;2020-09-29;3.105431;46.687275;87;00300333;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;château arnoux;04_chateauarnoux;5992;0040577F;0040577F;;;;93;Provence-Alpes-Côte d'Azur;04;Alpes-de-Haute-Provence;MFREO B. Durance à Chateau Arnoux;MFREO Bléone Durance à Chateau Arnoux;2019-09-01;;;0492621089;;;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;;MAISON FAMILIALE RURALE BLÉONE DURANCE - CHATEAU ARNOU;Oui;Non;Non;Non;04049;CHATEAU ARNOUX SAINT AUBAN;MFREO BLEONE DURANCE A CHATEAU ARNOUX;;;1 RUE VICTORIN MOREL;;04160 CHATEAU ARNOUX ST AUBAN;MFREO BLEONE DURANCE A CHATEAU ARNOUX;;;1 RUE VICTORIN MOREL;;04160 CHATEAU ARNOUX ST AUBAN;2;00401253;Association MFREO B. Durance à Chateau Arnoux;;;2020-09-29;6.007918;44.093421;5000000005190;00401352;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;ventavon;05_ventavon;4383;0050606G;0050606G;;mfr.ventavon@mfr.asso.fr;mfr.ventavon;93;Provence-Alpes-Côte d'Azur;05;Hautes-Alpes;MFREO 'Montagne 05' de Ventavon;MAISON FAMILIALE RURALE DE VENTAVON;1999-09-01;;www.mfr-ventavon.com;0492664115;mfr.ventavon;0492664423;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;39197034000017;MAISON FAMILIALE RURALE DE VENTAVON - MONTAGNE 05;Oui;Non;Non;Oui;05178;VENTAVON;MFREO  MONTAGNE 05  DE VENTAVON;MONTAGNE 05;;200 CHEMIN DE LA MFR - VALENTY;;05300 VENTAVON;MFREO  MONTAGNE 05  DE VENTAVON;MONTAGNE 05;;200 CHEMIN DE LA MFR - VALENTY;;05300 VENTAVON;2;00500433;Association de la MFREO 'Montagne 05' de Ventavon;;;2020-09-29;5.924303;44.366906;566;00500136;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;villeneuve-de-berg;07_villeuneuvedeberg;22806;0071303D;0071303D;;mfr.villeneuve-de-berg@mfr.asso.fr;mfr.villeneuve-de-berg;84;Auvergne-Rhône-Alpes;07;Ardèche;MFREO de Villeneuve de Berg;Maison Familiale Rurale;1999-09-01;;www.mfrardeche.fr;0475948282;mfr.villeneuve-de-berg;0475947699;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;77628318600018;MAISON FAMILIALE RURALE DE VILLENEUVE DE BERG;Oui;Non;Non;Non;07341;VILLENEUVE DE BERG;MAISON FAMILIALE RURALE;;;47 ENCLOS DE LA PLAINE;BP 36;07170 VILLENEUVE DE BERG;MAISON FAMILIALE RURALE;;;47 ENCLOS DE LA PLAINE;;07170 VILLENEUVE DE BERG;2;00701919;Association de la MFREO de Villeneuve de Berg;;;2020-09-29;4.49918422806656;44.5548848422287;591;00700434;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Lucquy;08_lucquy;65015;0080951R;0080951R;;mfr.Lucquy@mfr.asso.fr;mfr.Lucquy;44;Grand Est;08;Ardennes;MFREO de Lucquy;MFREO de Lucquy;1999-09-01;;;0324720962;mfr.Lucquy;0324725989;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;30550939000020;MAISON FAMILIALE RURALE DE LUCQUY;Oui;Non;Non;Non;08262;LUCQUY;MFREO DE LUCQUY;;;11 PLACE DE LA GARE;;08300 LUCQUY;MFREO DE LUCQUY;;;11 PLACE DE LA GARE;;08300 LUCQUY;2;00801261;Association de la MFREO de Lucquy;;;2020-09-29;4.474181;49.523282;220;00800202;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Naucelle;12_naucelle;53479;0121336M;0121336M;;mfr.Naucelle@mfr.asso.fr;mfr.Naucelle;76;Occitanie;12;Aveyron;MFREO de Naucelle;Maison Familiale Rurale de Naucelle;1999-09-01;;www.mfrdenaucelle.fr;0565470060;mfr.Naucelle;0565720229;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;78818552800015;MAISON FAMILIALE RURALE DE NAUCELLE;Oui;Non;Non;Non;12169;NAUCELLE;MAISON FAMILIALE RURALE DE NAUCELLE;;;RUE DE VILLELONGUE;;12800 NAUCELLE;MAISON FAMILIALE RURALE DE NAUCELLE;;;RUE DE VILLELONGUE;;12800 NAUCELLE;2;01203441;Association de la MFREO de Naucelle;;;2020-09-29;2.340202;44.197977;318;01200867;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;st-sernin;12_stsernin2;53484;0121298W;0121298W;;mfr.st-sernin@mfr.asso.fr;mfr.st-sernin;76;Occitanie;12;Aveyron;MFREO de Saint Sernin sur Rance;Maison Familiale Rurale de Saint-Sernin sur Rance;1999-09-01;;http://valrance.com;0565981860;mfr.st-sernin;0565981869;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;;MAISON FAMILIALE RURALE DE ST SERNIN SUR RANCE;Oui;Non;Non;Non;12248;SAINT SERNIN SUR RANCE;MAISON FAMILIALE RURALE DE SAINT-SERNI;MFR VALRANCE;;2 ROUTE DU BOIS DU FOUR;;12380 ST SERNIN SUR RANCE;MAISON FAMILIALE RURALE DE SAINT-SERNI;MFR VALRANCE;;2 ROUTE DU BOIS DU FOUR;;12380 ST SERNIN SUR RANCE;2;01203342;Association de la MFREO de Saint Sernin sur Rance;;;2020-09-29;2.64783079405538;43.8070103080048;317;01200768;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;barbentane;13_barbentane;3540;0132278F;0132278F;;mfr.barbentane@mfr.asso.fr;mfr.barbentane;93;Provence-Alpes-Côte d'Azur;13;Bouches-du-Rhône;MFREO La Montagnette à Barbentane;MFREO La Montagnette à Barbentane;2002-09-01;;;0490955004;mfr.barbentane;0490955945;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;;MAISON FAMILIALE RURALE DE LA MONTAGNETTE - BARBENTANE;Oui;Non;Non;Oui;13010;BARBENTANE;MFREO LA MONTAGNETTE A BARBENTANE;LA MONTAGNETTE;;QUARTIER DES CARRIERES;;13570 BARBENTANE;MFREO LA MONTAGNETTE A BARBENTANE;LA MONTAGNETTE;;QUARTIER DES CARRIERES;;13570 BARBENTANE;2;01302714;Association de MFREO La Montagnette à Barbentane;;;2020-09-29;4.763559;43.88536;568;01300239;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;eyragues;13_eyragues;3593;0132149R;0132149R;;mfr.eyragues@mfr.asso.fr;mfr.eyragues;93;Provence-Alpes-Côte d'Azur;13;Bouches-du-Rhône;MFREO de Beauchamp à Eyragues;MFREO de Beauchamp à Eyragues;1999-09-01;;www.mfr-eyragues.com;0490941495;mfr.eyragues;0490928632;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;33500144200011;MAISON FAMILIALE RURALE DE BEAUCHAMP - EYRAGUES;Oui;Non;Oui;Non;13036;EYRAGUES;MFREO DE BEAUCHAMP A EYRAGUES;;;DOMAINE DE BEAUCHAMP;;13630 EYRAGUES;MFREO DE BEAUCHAMP A EYRAGUES;;;DOMAINE DE BEAUCHAMP;;13630 EYRAGUES;2;01302813;Association de la MFREO de Beauchamp à Eyragues;;;2020-09-29;4.82486135910397;43.8430352738073;569;01300338;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;lambesc;13_lambesc;Pas iMFR;Pas iMFR;0132010P;Pas d'iMFR;mfr.lambesc@mfr.asso.fr;mfr.lambesc;93;Provence-Alpes-Côte d'Azur;13;Bouches-du-Rhône;MFREO de Lambesc;Domaine de Garachon;1999-09-01;;www.garachon.org;0442571957;mfr.lambesc;0442571958;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;78273673000014;MAISON FAMILIALE RURALE DE LAMBESC;Oui;Non;Non;Oui;13050;LAMBESC;DOMAINE DE GARACHON;;;ROUTE NATIONALE 7;;13410 LAMBESC;DOMAINE DE GARACHON;;;ROUTE NATIONALE 7;;13410 LAMBESC;2;01303011;Association de la MFREO de Lambesc;;;2020-09-29;5.21562880966315;43.6737691676611;571;01300536;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;LaRoque Erreur RNE;13_laroque;4911;0133906A;0134350H;Erreur RNE !;;;93;Provence-Alpes-Côte d'Azur;13;Bouches-du-Rhône;MFREO de la Roque d'Anthéron;MFREO de la Roque d'Anthéron;2020-09-01;;;;;;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;;MAISON FAMILIALE RURALE DE LA ROQUE D'ANTHERON;Oui;Non;Non;Oui;13084;LA ROQUE D ANTHERON;MFREO DE LA ROQUE D'ANTHÉRON;;QUARTIER DES CARRAIRES;CHEMIN DE LA DEVALADE;BP 15;13640 LA ROQUE D ANTHERON;MFREO DE LA ROQUE D'ANTHÉRON;;QUARTIER DES CARRAIRES;CHEMIN DE LA DEVALADE;;13640 LA ROQUE D ANTHERON;2;01307055;Association de la MFREO de la Roque d'Anthéron;;;2020-09-29;;;6000000000032;01307154;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;puyloubier;13_puyloubier;3372;0132823Y;0132823Y;;mfr.puyloubier@mfr.asso.fr;mfr.puyloubier;93;Provence-Alpes-Côte d'Azur;13;Bouches-du-Rhône;MFREO de Puyloubier;MAISON FAMILIALE ET RURALE;2002-09-01;;www.mfr-puyloubier.com;0442663209;mfr.puyloubier;0442663458;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;30394026600016;MAISON FAMILIALE RURALE DE PUYLOUBIER;Oui;Non;Non;Oui;13079;PUYLOUBIER;MAISON FAMILIALE ET RURALE;;;213 AVENUE HENRI  FROIDFOND;;13114 PUYLOUBIER;MAISON FAMILIALE ET RURALE;;;213 AVENUE HENRI  FROIDFOND;;13114 PUYLOUBIER;2;01302912;Association de la MFREO de Puyloubier;;;2020-09-29;5.677592;43.523278;570;01300437;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;rhone-alpilles;13_rhonealpilles;5258;0133915K;0133915K;;mfr.rhone-alpilles@mfr.asso.fr;mfr.rhone-alpilles;93;Provence-Alpes-Côte d'Azur;13;Bouches-du-Rhône;MFREO Rhône Alpilles St Martin de Crau;MFREO Rhône Alpilles St Martin de Crau;2007-09-01;;http://www.mfr.asso.fr;0490491752;mfr.rhone-alpilles;0490491064;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;40918828100029;MAISON FAMILIALE RURALE DE ST ETIENNE;Oui;Non;Non;Oui;13097;SAINT MARTIN DE CRAU;MFREO RHONE ALPILLES ST MARTIN DE CRAU;;;2 RUE DE LA GARRIGUE;;13310 ST MARTIN DE CRAU;MFREO RHONE ALPILLES ST MARTIN DE CRAU;;;2 RUE DE LA GARRIGUE;;13310 ST MARTIN DE CRAU;2;01305402;Asso de la MFREO Rhône Alpilles St Martin de Crau;;;2020-09-29;4.74666513953316;43.7853905417222;5000000003949;01305501;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Rousset Erreur RNE;13_saintevictoire;5885;0134035R;0134249Y;Erreur RNE !;;;93;Provence-Alpes-Côte d'Azur;13;Bouches-du-Rhône;MFREO Sainte Victoire de Rousset;MFREO Sainte Victoire de Rousset;2018-09-01;;;;;;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;;MAISON FAMILIALE RURALE DE ROUSSET;Oui;Non;Non;Non;13087;ROUSSET;MFREO SAINTE VICTOIRE DE ROUSSET;;;LE PLAN;BP 54;13790 ROUSSET;MFREO SAINTE VICTOIRE DE ROUSSET;;;LE PLAN;;13790 ROUSSET;2;01306659;Association de la MFREO Sainte Victoire de Rousset;;;2020-09-29;5.6223355013069;43.4820755053767;5000000004976;01306758;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Bagotiere;14_Bagotière moutiersencinglais;13846;0141904U;0141904U;;mfr.Bagotiere@mfr.asso.fr;mfr.Bagotiere;28;Normandie;14;Calvados;MFREO Les Moutiers en Cinglais;MFREO Les Moutiers en Cinglais;1999-09-01;;www.bagotiere.mfr.fr;0231279494;mfr.Bagotiere;0231279499;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;78075147500010;MAISON FAMILIALE RURALE DES MOUTIER EN CINGLAIS;Oui;Non;Non;Oui;14458;LES MOUTIERS EN CINGLAIS;MFREO LES MOUTIERS EN CINGLAIS;;;LA BAGOTIERE;;14220 LES MOUTIERS EN CINGLAIS;MFREO LES MOUTIERS EN CINGLAIS;;;LA BAGOTIERE;;14220 LES MOUTIERS EN CINGLAIS;2;01402155;Association de la MFREO les Moutiers en Cinglais;;;2020-09-29;-0.447982;49.029345;361;01400304;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Balleroy;14_balleroy;13844;0141902S;0141902S;;mfr.Balleroy@mfr.asso.fr;mfr.Balleroy;28;Normandie;14;Calvados;MFREO de Balleroy;MFREO de Balleroy;1999-09-01;;;0231216848;mfr.Balleroy;0231223126;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;;MAISON FAMILIALE RURALE DE BALLEROY;Oui;Non;Oui;Oui;14035;BALLEROY SUR DROME;MFREO DE BALLEROY;;;81 RUE DES FORGES;BALLEROY;14490 BALLEROY SUR DROME;MFREO DE BALLEROY;;;81 RUE DES FORGES;BALLEROY;14490 BALLEROY SUR DROME;2;01402056;Association de la MFREO de Balleroy;;;2020-09-29;-0.842279;49.183115;360;01400205;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
