code_gestion;numero_uai;mel;denomination_principale_uai;patronyme_uai;adresse_uai;code_postal_uai;localite_acheminement_uai;numero_telephone_uai;mel_uai;enquete;nature_uai;specificite_uai;nouveau;numero_siren_siret_uai
a20;0021885N;;GRETA AISNE;LYCÉES CONDORCET - GAY LUSSAC;Rond-point JOLIOT CURIE;02100;ST QUENTIN;0323084420;greta.sqc@ac-amiens.fr;;710;;nouveau;19020050100038
d32;0021907M;;MAISON FAMILIALE RURALE;VALLEE DU RETZ - AMBLENY;11 RUE DU PONT CHEMINET;02290;AMBLENY;0323742263;mfr.ambleny@mfr.asso.fr;;380;APP;nouveau;
d32;0021908N;;MAISON FAMILIALE RURALE;DE LA CAPELLE;12 BIS PLACE DEMI-LUNE;02260;LA CAPELLE;0323972133;mfr.la-capelle@mfr.asso.fr;;380;APP;nouveau;
d32;0021923E;melinda.defaux@ma02.org;CTR FORMATION APPRENTIS AGRI.;CFA.AGRICOLE;1  RUE RENE BLONDELLE;02007;LAON CEDEX;0323237800;;1;600;;present_enquete_sifa;
d32;0022041H;;CTR FORM PROF PROMO AGRI;VERDILLY;;02400;VERDILLY;0323691547;cfppa.verdilly@educagri.fr;;740;APP;nouveau;19020060000020
d32;0022046N;;CTR FORM PROF PROMO AGRI;DE LA THIERACHE;RUE PORTE DES CHAMPS;02140;FONTAINE LES VERVINS;0323913150;cfppa.la-thierache@educagri.fr;;740;APP;nouveau;19021522800049
d32;0022130E;;CENTRE FORMATION CONTINUE;CHAMBRE D'AGRICULTURE;1  RUE RENE BLONDELLE;02000;LAON;;;;700;APP;nouveau;
a20;0022189U;;ORGANISME FORMATION-CFA;AXION FORMATIONS;10 rue du Général Foy;02100;ST QUENTIN;0323081591;contact@axion-formations.com;;605;;nouveau;39504180900041
a06;0030124U;s.joseph@ifi03.com;CTR DE FORMATION D'APPRENTIS;I.F.I 03;11 route de Paris;03000;AVERMES;0470351350;secretariat@ifi03.com;1;600;;present_enquete_sifa;18030654000022
a06;0030126W;sabine.markiewicz@ccca-btp.fr;CFA ECOLE DES METIERS DU BAT.;BTP CFA ALLIER;12 ROUTE DE CHARMEIL;03700;BELLERIVE SUR ALLIER;0470322416;cfabtp.vichy@ccca-btp.fr;1;600;;present_enquete_sifa;77899417800011
a06;0030867B;;ECOLE SILVYA TERRADE VICHY;ECOLE D'ESTHETIQUE FOURNIER-GR;3 RUE PRESIDENT ROOSEVELT;03200;VICHY;0470986277;vichy@groupe-terrade.com;;320;APP;nouveau;35180218600087
a06;0031030D;n.filomena@formation-industries-auvergne.fr;CTR DE FORMATION D'APPRENTIS;AFPI - CFAI;62 rue Henri Barbusse;03630;DESERTINES;0470282312;cfai@cfai-auvergne.com;1;600;;present_enquete_sifa;39310452600016
a06;0031067U;;CTR FORM PROF PROMO AGRICOLES;DE MOULINS;;03000;NEUVY;0470464367;ce.0031067U@ac-clermont.fr;;740;;nouveau;19030094700016
a06;0031127J;direction03@groupe-alternance.com;ORGANISME DE FORMATION-CFA, MO;ALTERNANCE AUVERGNE;12 rue Albert Samain;03100;MONTLUCON;;;;605;;nouveau;38274201301501
a06;0031128K;gmetenier@allier.cci.fr;ORGANISME DE FORMATION - CFA;CENTRE DE FORMATION HÔTELIÈRE;5 rue Montaret;03200;VICHY;;;;605;;nouveau;13002286600011
a06;0031129L;emike@infa-formation.com;ORGANISME DE FORMATION - CFA;FONDATION INFA;10 rue de la Glacerie;03100;MONTLUCON;0470515605;dargence@infa-formation.com;;605;;nouveau;78574029100816
a02;0040161D;n.davin-baro@cmar-paca.fr;CTR DE FORMATION D APPRENTIS;CAMPUS DE DIGNE - RENE VILLENE;15  RUE MALDONNAT;04004;DIGNE LES BAINS CEDEX;0492309080;accueil.cfa@cm-04.fr;1;600;;present_enquete_sifa;18040003800022
a02;0040548Z;s.marangoni@digne.cci.fr;CTR DE FORMATION D APPRENTIS;CCI  ALPES DE HAUTE- PROVENCE;60  BOULEVARD GASSENDI;04000;DIGNE LES BAINS;0492308080;accueil@digne.cci.fr;1;600;;present_enquete_sifa;18040001200019
a02;0040578G;;ORGANISME DE FORMATION CFA;S.A.S SPORT ET FORMATION;Chemin DES ORMES;04800;GREOUX LES BAINS;0611817755;fgirault@laposte.net;;605;;nouveau;81757662750001
a02;0040579H;;A.D.F;ALPES DEVELOPPEMENT FORMATION;22 rue des entrepreneurs;04100;MANOSQUE;0492728282;accueil@adfformation.fr;;605;;nouveau;37951396300023
a02;0050503V;l.chiffe@cmar-paca.fr;;;10 ROUTE DE GRAFFINEL;05000;GAP;0492539800;idem05@idem05.fr;1;600;;present_enquete_sifa;30454082600027
a02;0050621Y;greta.alpes-provence@ac-aix-marseille.fr;CTR DE FORMATION D APPRENTIS;DES METIERS ET DE L'ARTISANAT;1 place de Verdun;05000;GAP;0492522691;;;710;;nouveau;19050006600039
a02;0050663U;;CENTRE POPULAIRE D'ENSEIGNEMEN;CPE -AS;140 boulevard G.Pompidou;05000;GAP;0492536119;s.launay@cpe-as.fr;;605;;nouveau;33377152500032
a02;0050665W;;ALTERNANCE AZUR;ALTERNANCE AZUR;48 boulevard Georges Pompidou;05000;GAP;0492249260;l.honore@alternance-azur.com;;605;;nouveau;49301662000020
a02;0050666X;;CRET - CCI FORMAITON;CRET - CCI FORMATION;36 avenue de la République;05100;BRIANCON;0492212733;d.teyssot@cret-cci.com;;605;;nouveau;18050001900039
a23;0060777M;;ECOLE TECHNOLOGIQUE PRIVEE;ILEC;12  BOULEVARD DUBOUCHAGE;06000;NICE;0492173310;info@ilec.fr;;301;APP;nouveau;39851238400015
a23;0060818G;;ECOLE PROFESSIONNELLE PRIVEE;ILEC;10 rue MOZART;06150;CANNES;0497066451;info@ilec.fr;;320;APP;nouveau;31662470900010
a23;0060862E;claire.girard@cote-azur.cci.fr;CTR DE FORMATION D APPRENTIS;INST.DE FORM.PHARMACIE ET SANT;120  BOULEVARD POINT DU JOUR;06700;ST LAURENT DU VAR;0493314969;;1;600;;present_enquete_sifa;18130001300172
a23;0060916N;julia.arnaud@ccca-btp.fr;CTR DE FORMATION D APPRENTIS;BATIMENT ET TP DES A.M.;80 RUE J JOANNON QUA 3 MOULINS;06600;ANTIBES;0492913200;;1;600;;present_enquete_sifa;77555208600057
a23;0060918R;farida.benghalem@cote-azur.cci.fr;CTR DE FORMATION D APPRENTIS;INST.DE FORMATION AUTOMOBILE;45  ROUTE DE GRENOBLE;06204;NICE CEDEX 3;0492294670;;1;600;;present_enquete_sifa;18130001300156
a23;0060920T;julie.quinton@ville-cannes.fr;CTR DE FORMATION REGIONAL D'AP;FACULTE DES METIERS;54 RUE DE CANNES;06150;CANNES;0493904353;;1;600;;present_enquete_sifa;21060029200069
d93;0061603K;jean-francois.brisse@educagri.fr;CFA REGIONAL AGRIC.;ANTIBES;88  CHEMIN DES MAURES;06600;ANTIBES;0492913000;;1;600;;present_enquete_sifa;19060793700025
a23;0061792R;;GRETA TOURISME HOTELLERIE;LPO HOTELIER TOURISME PAUL AUG;163 boulevard René Cassin;06203;NICE CEDEX 3;0493727780;;;710;;nouveau;19060034600042
a23;0061832J;;GRETA COTE D'AZUR;LGT LES EUCALYPTUS;AVENUE DES EUCALYPTUS;06200;NICE;0492294080;;;710;;nouveau;19060075900020
a23;0061909T;laure.pigaglio@nicecotedazur.org;CTR DE FORMATION D APPRENTIS;METROPOLE COTE D'AZUR;9 boulevard COLLEBELLE;06510;CARROS;0492082080;secretariat-direction@cfa-carros.com;1;600;;present_enquete_sifa;20003019500115
a23;0061910U;swanna.yengo@pnsd.fr;CTR DE FORMATION D APPRENTIS;DANSE THEATRE VOIX;5 RUE DE COLMAR;06150;CANNES;0493947980;;1;600;;present_enquete_sifa;
a23;0061931S;Carole.Theron1@ac-nice.fr;SECTION D'APPRENTISSAGE;LEON CHIRIS;51 CHEMIN DES CAPUCINS;06130;GRASSE;;;1;630;;present_enquete_sifa;
a23;0062087L;charlotte@infosupaca.com;CTR DE FORMATION D APPRENTIS;INFOSUPACA;0 boulevard MAURICE SLAMA;06200;NICE;0493194121;;1;600;;present_enquete_sifa;
a23;0062093T;e.drauge@donbosconice.eu;CTR DE FORMATION D APPRENTIS;REGIONAL DON BOSCO;40 place DON BOSCO;06046;NICE CEDEX 1;0493928585;cfa@fondation-donbosco.fr;1;600;;present_enquete_sifa;
a23;0062116T;;ECOLE SUPERIEURE PRIVEE;EUROMEDIA FORMATION;225 avenue Saint-exupéry;06210;MANDELIEU LA NAPOULE;0492194020;contact@euromedia.com;;400;AP1;nouveau;39945394300058
a23;0062146A;;ECOLE TECHNICO PROFESSIONNELE;ECS SUP DE WEB;30  AVENUE JEAN MEDECIN;06000;NICE;0493914296;info@mediaschool.eu;;440;APP;nouveau;
a23;0062173E;;ETABLISSEMENT TECHNIQUE PRIVE;ISC-NICE;19 rue DE RUSSIE;06000;NICE;0497202226;contact@form-alternance.fr;;400;AP1;nouveau;49925967900037
a23;0062176H;christelle.castellani1@ac-nice.fr;CTR DE FORMATION D APPRENTIS;ACADEMIE DE NICE;53 avenue Cap de Croix;06000;NICE;;;1;600;;present_enquete_sifa;
a23;0062199H;;ORGANISME DE FORMATION-CFA;SAS VISIPLUS VALBONNE;1300 route des Crêtes;06560;VALBONNE;;compta@visiplus.com;;605;;nouveau;44321186700025
a23;0062200J;;OF-CENTRE DE FORMATION D'APPRE;GROUPEMENT PROMOTION ECHANGES;2208 route de Grasse;06600;ANTIBES;;;;605;;nouveau;42374468900021
a23;0062201K;;ORGANISME FORMATION-CFA;UFIP NICE SARL LES ANGLADES;208 boulevard du Mercantour;06200;NICE;;;;605;;nouveau;
a23;0062202L;;ORGANISME FORMATION-CFA;CFMPE NICE;10 avenue Georges Clemenceau;06000;NICE;;institutcfmpe@gmail.com;;605;;nouveau;52921528700010
a23;0062204N;;ORGANISME FORMATION-CFA;CFA CCINCA NICE;20 boulevard Carabacel;06000;NICE;;;;605;;nouveau;18060001700016
a08;0070876P;d.sondaz@sepr.edu;CENTRE DE FORMATION D'APPRENTI;ARDÈCHE NORD SEPR;58 chemin DE VILLEDIEU;07100;ANNONAY;0475324020;sepr.annonay@sepr.edu;1;600;;present_enquete_sifa;77990483800025
a08;0071199R;nathalie.casier@ardeche.cci.fr;CENTRE DE FORMATION D'APPRENTI;LANAS ANDRÉ FARGIER;Route AERODROME;07200;LANAS;0475361600;accueil@cfa-ardeche-meridionale.fr;1;600;;present_enquete_sifa;18073001200044
a08;0071376H;cfa.pharm@wanadoo.fr;CENTRE DE FORMATION D'APPRENTI;ADAPSS;60 RUE DE NARVIK;07500;GUILHERAND GRANGES;0475441225;cfa.pharm@wanadoo.fr;1;600;;present_enquete_sifa;77947068100023
a08;0071385T;;GRETA VIVARAIS PROVENCE;LPO ASTIER;QUARTIER ROQUA;07201;AUBENAS CEDEX;0475930303;greta.vivaraisprovence@ac-grenoble.fr;;710;;nouveau;19070004700052
a08;0071456V;;FORMATION EMPLOI AVENIR;FORMATION EMPLOI AVENIR;11 boulevard DU LYCEE;07000;PRIVAS;0475293404;secretariat@fea-asso.fr;;620;;nouveau;75315034100034
a08;0071462B;;INSTITUT SUPERIEUR;SAINT-DENIS;1 chemin de la muette;07100;ANNONAY;0475692808;bjagrange@orange.fr;;440;APP;nouveau;82404810200019
a19;0080842X;sophie.sulley@almea-formations-08.fr;ALMEA FORMATION INTERPRO 08;CFA INTERPRODES ARDENNES;129 avenue Charles de Gaulle;08008;CHARLEVILLE MEZIERES CEDEX;0324330224;almea08@almea-formations-08.fr;1;600;;present_enquete_sifa;50923283100057
d44;0080972N;florence.boudesocque@educagri.fr;CTR DE FORMATION D'APPRENTIS;AGRICOLE DES ARDENNES;ROUTE DE NOVION;08300;RETHEL;0324396020;cfa.ardennes@educagri.fr;1;600;;present_enquete_sifa;19080804800069
a19;0081002W;;GRETA DES ARDENNES;LPO LYC METIERS FRANCOIS BAZIN;145 avenue Charles de Gaulle;08013;CHARLEVILLE MEZIERES CEDEX;0324597575;direction@ardennes.greta.fr;;710;APP;nouveau;19080008600026
d44;0081065P;cfa.charleville@educagri.fr;CTR DE FORMATION D'APPRENTIS;AGRICOLE SAINT-LAURENT;27  RUE DU MUGUET;08090;ST LAURENT;0324337226;cfa.saintlaurent@wanadoo.fr;1;600;;present_enquete_sifa;19080863400041
a19;0081137T;claudine.hamel@ccca-btp.fr;CTR DE FORMATION D APPRENTIS;BTP GRAND EST - LORRAINE 08;134  GRANDE RUE;08430;POIX TERRON;0324373434;cfabtp.charleville@ccca-btp.fr;1;600;;present_enquete_sifa;78334702400128
a19;0081150G;;OF -CENTRE DE FORMATION DE LA;CENTRE DE FORMATION D'APPRENTI;10 rue Rosat;08000;CHARLEVILLE MEZIERES;03 24 59 86 9;Contact@formation-de-la-salle.com;;605;;nouveau;78025339900023
a19;0081151H;;OFFRE DE FORMATION-CENTRE D'AP;TURENNE COMPETENCES;8 rue de l'artisanat;08000;CHARLEVILLE MEZIERES;0651081634;turenne.competences@la poste.net;;605;;nouveau;
a19;0081152J;;OFFRE DE FORMATION-CENTRE D'AP;BSA MAUD BADUREAU;5 rue Carnot;08200;SEDAN;0670889513;beauteseduction@gmail.com;;605;;nouveau;80780406700013
a16;0090553C;v.espy@cm-ariege.fr;CTRE DE FORMATION D'APPRENTIS;CHAMBRE METIERS DE L'ARIEGE;2 rue JEAN MOULIN LABARRE;09001;FOIX CEDEX;0534098810;ce.0090553C@ac-toulouse.fr;1;600;;present_enquete_sifa;42098143300014
a16;0090656P;ifa@ariege.cci.fr;CTRE DE FORMATION D'APPRENTIS;IFA 09 CCI DE L'ARIEGE;. quartier ST ANTOINE;09000;ST PAUL DE JARRAT;0561641600;ce.0090656P@ac-toulouse.fr;0;600;;present_non_enquete_sifa;13002247800064
a19;0100715Y;morgiane.thoyer@almea-formations-10.fr;ALMEA FORMATIONS INTERPRO 10;CFA INTERPRO DE L'AUBE;9 rue ROBERT KELLER;10150;PONT STE MARIE;0325810801;contact@almea-formations-10.fr;1;600;;present_enquete_sifa;50923283100024
a19;0100824S;lucile.kowalyszyn@ccca-btp.fr;CTR DE FORMATION D'APPRENTIS A;BTP GRAND EST - LORRAINE 10;34 rue DANTON;10150;PONT STE MARIE;0325810146;cfabtp.troyes@ccca-btp.fr;1;600;;present_enquete_sifa;78334702400136
d44;0100948B;dominique.chevrot@educagri.fr;CTR DE FORMATION D'APPRENTIS;AGRICOLE DE L'AUBE  CH. BALTET;ROUTE DE VIELAINES;10120;ST POUANGE;0325416420;cfa.aube@educagri.fr;1;600;;present_enquete_sifa;19100687300043
a19;0100975F;;GRETA SUD CHAMPAGNE;LPO LES LOMBARDS;12 avenue DES LOMBARDS;10025;TROYES CEDEX;0325712380;ce.0100025Y@ac-reims.fr;;710;APP;nouveau;19100025600039
a19;0101035W;cfa.pharmacie.troyes@wanadoo.fr;CTR DE FORMATION D'APPRENTIS;DE LA PHARMACIE;10 QUATER RUE DES BAS TREVOIS;10002;TROYES CEDEX;0325734732;cfa.pharmacie.troyes@wanadoo.fr;1;600;;present_enquete_sifa;38163809700018
a19;0101060Y;;UNIVERSITE TECHNOLOGIE TROYES;;12 rue MARIE CURIE;10004;TROYES CEDEX;0325717600;;;551;AP1;nouveau;19101060200032
a19;0101140K;;OF -CENTRE DE FORMATION D'APPR;LA SALLE TROYES;21 rue du cloître Saint Etienne;10000;TROYES;0325800444;formation@lasalle-troyes.fr;;605;;nouveau;
a19;0101141L;;OFFRE DE FORMATION-CENTRE D'AP;ALTERNANCE CHAMPAGNE-ARDENNE T;24 boulevard du 14 Juillet;10000;TROYES;0325428130;m.moulet@groupe-alternance.com;;605;;nouveau;80793611700033
a19;0101143N;;OFFRE DE FORMATION-CENTRE D'AP;SILVYA TERRADE GRAND EST À TRO;1 rue Victorien Sardou;10000;TROYES;0634065854;;;605;;nouveau;43879833200070
a19;0101144P;;OFFRE DE FORMATION-CENTRE D'AP;SAS BL FORMATION PASTEUR;217 rue Pierre Brossolette;10000;TROYES;0325831300;amelie.lamaze@pigier.com;;605;;nouveau;78937972400048
a11;0110681F;v.sales@cfai-aude.fr;CTR DE FORMATION D APPRENTIS;INTERPROFESSIONNEL H MARTIN;22 AVENUE DES GENETS;11205;LEZIGNAN CORBIERES CEDEX;0468112200;secretariat-direction@cfai-aude.fr;1;600;;present_enquete_sifa;18110003300024
a11;0110884B;nathalie.nivet@ccca-btp.fr;CTR DE FORMATION D APPRENTIS;BTP AUDE;CHEMIN DE SAINT-ESTEVE;11204;LEZIGNAN CORBIERES CEDEX;0468278400;cfabtp.lezignan@ccca-btp.fr;1;600;;present_enquete_sifa;31009419800028
a11;0110905Z;;GRETA DE L'AUDE;LPO LOUIS MICHEL;2 rue Jean Moulin;11108;NARBONNE CEDEX;0468328409;greta-narbonne@ac-montpellier.fr;;710;;nouveau;19110023900026
a11;0110943R;marianne.letourmy@educagri.fr;CTR FORMATION APPRENTIS AGRIC.;DE L'AUDE;ROUTE DE SAINT HILAIRE;11000;CARCASSONNE;0468714394;;1;600;;present_enquete_sifa;20000746600077
a11;0111003F;secretariat@cfas-lr.fr;CTR DE FORMATION D APPRENTIS;SPECIALISE LANGUEDOC-ROUSSILLO;780  RUE ANTOINE DURAND;11000;CARCASSONNE;0468792742;contact@cfaspe.fr;1;600;;present_enquete_sifa;41373006000048
a11;0111009M;denis.canal@cneap.fr;SECTION D'APPRENTISSAGE PRIVEE;CLG SAINT JOSEPH;26 avenue André Chénier;11300;LIMOUX;0468706000;information@saintjoseph-limoux.com;1;630;;present_enquete_sifa;
a11;0111036S;;CTRE FORM PROF MIDI;;4 rue de la Coustoune;11000;CARCASSONNE;0468471605;cfpmidi@wanadoo.fr;;700;APP;nouveau;34792587700040
a11;0111060T;helene.benazet@ac-montpellier.fr;CTR DE FORMATION D APPRENTIS;EDUC NAT  AUDE PYR-ORIENT;2 rue Jean Moulin;11108;NARBONNE CEDEX;;;1;600;;present_enquete_sifa;19110023900034
a11;0111078M;;ORGANISME FORMATION-CFA;H ET C CONSEIL NARBONNE;20 rue Maraussan;11100;NARBONNE;0473932592;ehabasque.hcconseil@orange.fr;;605;;nouveau;42924994900117
a16;0120887Z;michele.maurel@cm-aveyron.fr;CTRE DE FORMATION D'APPRENTIS;CHAMBRE METIERS AVEYRON;RUE DES METIERS;12000;ONET LE CHATEAU;0565775618;0120887Z@ac-toulouse.fr;1;600;;present_enquete_sifa;18120003100019
a16;0121358L;regine.datchary@educagri.fr;CTRE FORMATION APPRENTIS AGRIC;DE L'AVEYRON;14  CHEMIN DE BASTONIES;12204;VILLEFRANCHE DE ROUERGUE C;0565811676;;1;600;;present_enquete_sifa;19120621800049
a16;0121371A;;GRETA MIDI-PYRENEES NORD;LGT ALEXIS MONTEIL;5  AVENUE DU MARECHAL JOFFRE;12034;RODEZ CEDEX 9;0565671792;;;710;;nouveau;19120024500022
a16;0121440A;ifa@aveyron.cci.fr;CTRE DE FORMATION D'APPRENTIS;CHAMBRE DE COMMERCE AVEYRON;17 rue Aristide Briand;12001;RODEZ CEDEX;0565777763;0121440A@ac-toulouse.fr;0;600;;present_non_enquete_sifa;18120001500111
a16;0121479T;cfa.st-affrique@educagri.fr;CTR FORMATION APPRENTIS AGRIC;ISA;ROUTE DE BOURNAC;12401;ST AFFRIQUE CEDEX;0565981021;;1;600;;present_enquete_sifa;19120938600074
a02;0131767A;c.mignot@salon-de-provence.org;CTR DE FORMATION D APPRENTIS;MUNICIPAL DE SALON DE PROVENCE;1  RUE ANTHIME RAVOIRE;13300;SALON DE PROVENCE;0490560783;cfa-salon@wanadoo.fr;1;600;;present_enquete_sifa;21130103100020
a02;0131772F;sophie.rico@ccca-btp.fr;CTR DE FORMATION D APPRENTIS;BTP MARSEILLE;IMPASSE DE LA MONTRE;13396;MARSEILLE CEDEX 11;0491879800;cfabtp.marseille@ccca-btp.fr;1;600;;present_enquete_sifa;78285946600032
a02;0131775J;service.info@cfbt-asso.com;CTR DE FORMATION D APPRENTIS;DE LA BOURSE DU TRAVAIL (CFBT);15 rue des Convalescents;13001;MARSEILLE;0491907853;accueil@cfbt-asso.com;1;600;;present_enquete_sifa;78281271300017
a02;0131779N;coulomb@cfapharmacie.fr;CTR DE FORMATION D APPRENTIS;PHARMACIE (DE LA);30  RUE BENEDIT;13004;MARSEILLE;0491840000;bouvier@cfapharmacie.fr;1;600;;present_enquete_sifa;78288386200024
a02;0131781R;rogerpara-cvs@orange.fr;CTR DE FORMATION D APPRENTIS;COIF.SOINS ESTH. ROGER PARA;441  AVENUE DU PRADO;13008;MARSEILLE;0496203434;rogerpara.d.castanier@orange.fr;1;600;;present_enquete_sifa;37970038800075
a02;0131782S;valerie.lefort@itii-paca.com;CTR DE FORMATION D APPRENTIS;INDUSTRIE DE PROVENCE (DE L');8 CHEMIN DE CAPEAU;13800;ISTRES;0442114400;cfai@cfaiprovence.asso.fr;1;600;;present_enquete_sifa;78291196000048
a02;0131784U;christel.ezgulian@ampmetropole.fr;CTR DE FORMATION D APPRENTIS;SAINTE VICTOIRE PAYS D AIX;7  RUE DU CHATEAU DE L HORLOGE;13090;AIX EN PROVENCE;0442296111;cfa@agglo-paysdaix.fr;1;600;;present_enquete_sifa;24130027600045
a02;0131786W;cfalip@af13.fr;CTR DE FORMATION D APPRENTIS;METIERS DE L AUTOMOBILE (DES);35  RUE CALLELONGUE;13008;MARSEILLE;0491167390;automobile.formation13@wanadoo.fr;1;600;;present_enquete_sifa;34957416000017
a02;0131903Y;cfa.mp@free.fr;CTR DE FORMATION D APPRENTIS;COIFFURE ARCOLE (DE LA);1  RUE D ARCOLE;13006;MARSEILLE;0491814034;cfa.mp@free.fr;1;600;;present_enquete_sifa;30090097400027
a02;0132469N;nathalie.larsen@ccca-btp.fr;CTR DE FORMATION D APPRENTIS;BATIMENT ET TRAVAUX PUBLICS;205 rue Albert Einstein;13593;AIX EN PROVENCE CEDEX 3;0442607474;cfabtp.aixlesmilles@ccca-btp.fr;1;600;;present_enquete_sifa;78285946600024
a02;0132470P;regis.boehm@corot-formations.com;CTR DE FORMATION D APPRENTIS;INTERPROFESSIONNEL COROT;PARC MASSALIA-33 BD CAPIT.GEZE;13333;MARSEILLE CEDEX 14;0491215700;info@corot-formations.com;1;600;;present_enquete_sifa;30591416000034
a02;0132976P;greta.provence-arbois@ac-aix-marseille.fr;GRETA PROVENCE ARBOIS;LGT VAUVENARGUES;60 boulevard Carnot;13602;AIX EN PROVENCE CEDEX 1;0442215277;;;710;;nouveau;19133206300020
a02;0132979T;vae.istres@ac-aix-marseille.fr;GRETA;OUEST 13;PLATEAU DES BOLLES;13800;ISTRES;0442565993;;;710;;nouveau;19132276700036
a02;0133004V;aurelie.chalifour@aftral.com;CTR DE FORMATION D APPRENTIS;TRANSPORT ET LOGISTIQUE (AFTRA;368 boulevard HENRI BARNIER;13321;MARSEILLE CEDEX 16;0491466500;helene.morilland@aftral.com;1;600;;present_enquete_sifa;77569201500222
a02;0133339J;kcharmasson@formationmetier.fr;CTR DE FORMATION D APPRENTIS;CITE TECHNIQUE (DE LA);368 boulevard HENRI BARNIER;13016;MARSEILLE;0491460540;lppstandre@wanadoo.fr;1;600;;present_enquete_sifa;77555830700093
a02;0133475G;l.le@compagnons-du-devoir.com;CTR DE FORMATION D APPRENTIS;COMPAGNONS DU DEVOIR (DES);184  RUE DU DOCTEUR CAUVIN;13012;MARSEILLE;0491365087;cfapaca@compagnons-du-devoir.com;1;600;;present_enquete_sifa;77566202600209
a02;0133486U;v.leone@cerfah.fr;CTR FORMATION APPRENTIS SANSOC;METIERS DE L'HOSPITALISATION;TOUR MEDIT. 65 AVENUE J.CANTINI;13006;MARSEILLE;0491781006;gpfcerfa@wanadoo.fr;1;600;;present_enquete_sifa;78281573200022
a02;0133489X;kassim.ibrahim@cfa-epure.com;CTR DE FORMATION D APPRENTIS;INTERUNIV. EPURE MEDITERRANEE;8 rue SAINTE BARBE;13001;MARSEILLE;0491140450;cfa.epure@wanadoo.fr;1;600;;present_enquete_sifa;39391439500032
a02;0133509U;cfamfr.paca@mfr.asso.fr;CTR DE FORMATION D APPRENTIS;FEDERATION REGIONALE DES MFR;3 rue Yvan Audouard;13200;ARLES;0490534131;fr.provence-languedoc@mfr.asso.fr;1;600;;present_enquete_sifa;42940000500014
a02;0133527N;laurence.gaillard@ccimp.com;CTR DE FORMATION D APPRENTIS;REGIONAL INTERCONSULAIRE MEDIT;1 rue SAINT SEBASTIEN;13177;MARSEILLE CEDEX 20;0491142822;cfaim@ccimp.com;1;600;;present_enquete_sifa;18130002100258
d93;0133535X;lvaneeckhaute@afasec.fr;CTR FORMATION APPRENTIS AGRIC.;METIERS HIPPIQUES;;13822;CABRIES CEDEX;0442224145;afasec13@wanadoo.fr;1;600;;present_enquete_sifa;31804341100095
a02;0133549M;emmanuel.point@cfpb.fr;CTR DE FORMATION D APPRENTIS;BANQUE-FINANCE (AIF PACA);65  AVENUE JULES CANTINI;13006;MARSEILLE;0491420882;sedneff@cfpb.fr;1;600;;present_enquete_sifa;48146151500027
a02;0133565E;corinne.martin@formaposte.com;CTR DE FORMATION D APPRENTIS;METIERS POSTE EN MEDITERRANEE;1  RUE PAUL LANGEVIN;13453;MARSEILLE CEDEX 13;0491132540;courrier@formaposte.com;1;600;;present_enquete_sifa;40863294100014
