"id_libelle_diplome";"formation_diplome";"libelle_diplome";"abreviation_diplome";"libelle_long";"niveau";"fm";"archive"
"40";"01031102";"MC4 AGENT TRANSPORT EXPL.FERROV.(MC4)";"MC4";"AGENT TRANSPORT EXPLOITATION FERROVIAIRE (MC NIVEAU IV)";"0";"0";"0"
"41";"01031201";"MC4 ASSIST.CONSEIL VENT.DISTANC.(MC4)";"MC4";"ASSISTANCE, CONSEIL, VENTE A DISTANCE (MC NIVEAU IV)";"0";"0";"0"
"42";"01031301";"MC4 SERVICES FINANCIERS (MC4)";"MC4";"SERVICES FINANCIERS (MC NIVEAU IV)";"0";"0";"0"
"43";"01033001";"MC5 AIDE A DOMICILE  (MC5)";"MC5";"AIDE A DOMICILE (MC NIVEAU V)";"0";"0";"0"
"44";"01033410";"MC5 SOMMELLERIE (MC5)";"MC5";"SOMMELLERIE (MC NIVEAU V)";"0";"0";"0"
"45";"01033411";"MC5 EMPLOYE BARMAN (MC5)";"MC5";"EMPLOYE BARMAN (MC NIVEAU V)";"0";"0";"0"
"46";"01033412";"MC4 ORGANISATEUR DE RECEPTION (MC4)";"MC4";"ORGANISATEUR DE RECEPTION (MC NIVEAU IV)";"0";"0";"0"
"47";"01033413";"MC4 ACCUEIL-RECEPTION (MC4)";"MC4";"ACCUEIL-RECEPTION (MC NIVEAU IV)";"0";"0";"0"
"48";"01033501";"MC4 ANIM.-GEST. PROJETS SECT. SPORTIF";"MC4";"ANIMATION-GESTION DE PROJETS DANS LE SECTEUR SPORTIF (MC NIVEAU IV)";"0";"0";"0"
"49";"01033605";"MC5 COIFFURE COUPE COULEUR (MC5)";"MC5";"COIFFURE COUPE COULEUR (MC NIVEAU V)";"0";"0";"0"
"50";"01034201";"MC5 ENTRET.COLLECT. PATRIMOINE (MC5)";"MC5";"ENTRETIEN DES COLLECTIONS DU PATRIMOINE (MC NIVEAU V)";"0";"0";"0"
"51";"01034401";"MC5 SURETE ESPAC.OUVERTS PUBLIC(MC5)";"MC5";"SURETE DES ESPACES OUVERTS AU PUBLIC (MC NIVEAU V)";"0";"0";"0"
"52";"01034402";"MC5 SECU.CIVILE ET D'ENTREPRISE (MC5)";"MC5";"SECURITE CIVILE ET D'ENTREPRISE (MC NIVEAU V)";"0";"0";"0"
"53";"01099999";"MC5 MENTION COMP.SPECIALIT.NON SPECIF";"MC5";"MENTION COMP.SPECIALIT.NON SPECIF";"0";"0";"0"
"54";"10033101";"DOCTORAT DE DOCTEUR EN PHARMACIE";"DOCTORAT";"DE DOCTEUR EN PHARMACIE";"1";"0";"1"
"55";"13510999";"MASTER PRO FORMATIONS GENERALES";"MASTER PRO";"FORMATIONS GENERALES (MASTER PRO)";"1";"0";"1"
"56";"13511005";"MASTER PRO CHIMIE";"MASTER PRO";"CHIMIE (MASTER NANTES)";"1";"0";"1"
"57";"13511006";"MASTER PRO SCIENCES DE L'EAU";"MASTER PRO";"SCIENCES DE L'EAU (MASTER LYON 2)";"1";"0";"0"
"58";"13511007";"MASTER PRO SCIENCES DE L'EAU";"MASTER PRO";"SCIENCES DE L'EAU (MASTER TOURS)";"1";"0";"0"
"59";"13511008";"MASTER PRO SCIENCES DE LA MER";"MASTER PRO";"SCIENCES DE LA MER (MASTER)";"1";"0";"0"
"60";"13511009";"MASTER PRO ERGONOMIE";"MASTER PRO";"ERGONOMIE (MASTER)";"1";"0";"1"
"61";"13511010";"MASTER PRO APPROCH INTERDISCIP RECHERCHE ENS";"MASTER PRO";"APPROCHES INTERDISCIPLINAIRES DE LA RECHERCHE ET DE L'ENSEIGNEMENT (MASTER)";"1";"0";"1"
"62";"13511107";"MASTER PRO SCIENCES GENIE DES MATERIAUX";"MASTER PRO";"SCIENCES ET GENIE DES MATERIAUX (MASTER PARIS SACLAY)";"1";"0";"0"
"63";"13511108";"MASTER PRO CHIMIE PHYSIQUE ET ANALYTIQUE";"MASTER PRO";"CHIMIE PHYSIQUE ET ANALYTIQUE (MASTER)";"1";"0";"1"
"64";"13511109";"MASTER PRO CHIMIE";"MASTER PRO";"CHIMIE (MASTER GRENOBLE ALPES)";"1";"0";"1"
"65";"13511202";"MASTER PRO CHIMIE";"MASTER PRO";"CHIMIE (MASTER STRASBOURG)";"1";"0";"1"
"66";"13511204";"MASTER PRO CHIMIE MOLECULAIRE";"MASTER PRO";"CHIMIE MOLECULAIRE (MASTER COMUE COTE D'AZUR)";"1";"0";"1"
"67";"13511301";"MASTER PRO GEORESSOURCES, GEORISQUES, GEOTEC";"MASTER PRO";"GEORESSOURCES, GEORISQUES, GEOTECHNIQUE (MASTER)";"1";"0";"1"
"68";"13511302";"MASTER PRO SC DE L'OCEAN ATMOSPHERE CLIMAT";"MASTER PRO";"SCIENCES DE L'OCEAN, DE L'ATMOSPHERE ET DU CLIMAT (MASTER)";"1";"0";"0"
"69";"13511303";"MASTER PRO BIODIVERSITE ECOLOGIE EVOLUTION";"MASTER PRO";"BIODIVERSITE , ECOLOGIE, EVOLUTION (MASTER PARIS SACLAY)";"1";"0";"1"
"70";"13511304";"MASTER PRO AGROSC ENVT TERRIT PAYSAGES FORET";"MASTER PRO";"AGROSCIENCES, ENVIRONNEMENT, TERRITOIRES, PAYSAGE, FORET (MASTER)";"1";"0";"1"
"71";"13511305";"MASTER PRO SC TECH AGRI ALIMENTATION ENVIRON";"MASTER PRO";"SCIENCES ET TECHNOLOGIES DE L'AGRICULTURE, DE L'ALIMENTATION ET DE L'ENVIRONNEMENT (MASTER)";"1";"0";"0"
"72";"13511306";"MASTER PRO SCIENCES DE L'EAU";"MASTER PRO";"SCIENCES DE L'EAU (MASTER)";"1";"0";"0"
"73";"13511406";"MASTER PRO INFORMATIQUE";"MASTER PRO";"INFORMATIQUE (MASTER AVIGNON)";"1";"0";"0"
"74";"13511408";"MASTER PRO ACTUARIAT";"MASTER PRO";"ACTUARIAT (MASTER STRASBOURG)";"1";"0";"1"
"75";"13511409";"MASTER PRO ACTUARIAT";"MASTER PRO";"ACTUARIAT (MASTER LE MANS)";"1";"0";"1"
"76";"13511410";"MASTER PRO MIASHS MATHEMATIQ APPLIQUEES SHS";"MASTER PRO";"MATHEMATIQUES ET INFORMATIQUE APPLIQUEES AUX SCIENCES HUMAINES ET SOCIALES -MIASHS (MASTER MONTPELLIER 3)";"1";"0";"0"
"77";"13511412";"MASTER PRO MIASHS MATHEMATIQ APPLIQUEES SHS";"MASTER PRO";"MATHEMATIQUES ET INFORMATIQUE APPLIQUEES AUX SCIENCES HUMAINES ET SOCIALES -MIASHS (MASTER ANGERS)";"1";"0";"0"
"78";"13511413";"MASTER PRO MATHEMATIQUES ET APPLICATIONS";"MASTER PRO";"MATHEMATIQUES ET APPLICATIONS (MASTER COMUE COTE D'AZUR)";"1";"0";"0"
"79";"13511415";"MASTER PRO MATHEMATIQUES ET APPLICATIONS";"MASTER PRO";"MATHEMATIQUES ET APPLICATIONS (MASTER ANGERS)";"1";"0";"0"
"80";"13511416";"MASTER PRO MATHEMATIQUES ET APPLICATIONS";"MASTER PRO";"MATHEMATIQUES ET APPLICATIONS (MASTER)";"1";"0";"0"
"81";"13511417";"MASTER PRO MATH APPLIQUEES STATISTIQUES";"MASTER PRO";"MATHEMATIQUES APPLIQUEES, STATISTIQUE (MASTER)";"1";"0";"0"
"82";"13511508";"MASTER PRO PHYSIQ FOND ET APPLICATIONS";"MASTER PRO";"PHYSIQUE FONDAMENTALE ET APPLICATIONS (MASTER BORDEAUX)";"1";"0";"0"
"83";"13511510";"MASTER PRO PHYSIQUE";"MASTER PRO";"PHYSIQUE (MASTER)";"1";"0";"0"
"84";"13511511";"MASTER PRO PHYSIQ APPLIQUEE INGENIER PHYSIQ";"MASTER PRO";"PHYSIQUE APPLIQUEE ET INGENIERIE PHYSIQUE (MASTER ORLEANS)";"1";"0";"0"
"85";"13511512";"MASTER PRO PHYSIQ APPLIQUEE INGENIER PHYSIQ";"MASTER PRO";"PHYSIQUE APPLIQUEE ET INGENIERIE PHYSIQUE (MASTER LIMOGES)";"1";"0";"0"
"86";"13511513";"MASTER PRO PHYSIQ FOND ET APPLICATIONS";"MASTER PRO";"PHYSIQUE FONDAMENTALE ET APPLICATIONS (MASTER TOULOUSE 3)";"1";"0";"0"
"87";"13511514";"MASTER PRO MECANIQUE";"MASTER PRO";"MECANIQUE (MASTER LORRAINE)";"1";"0";"0"
"88";"13511515";"MASTER PRO NANOSCIENCES NANOTECHNOLOGIES";"MASTER PRO";"NANOSCIENCES ET NANOTECHNOLOGIES (MASTER)";"1";"0";"0"
"89";"13511516";"MASTER PRO PHYSIQ APPLIQUEE INGENIER PHYSIQ";"MASTER PRO";"PHYSIQUE APPLIQUEE ET INGENIERIE PHYSIQUE (MASTER)";"1";"0";"0"
"90";"13511517";"MASTER PRO PHYSIQ FOND ET APPLICATIONS";"MASTER PRO";"PHYSIQUE FONDAMENTALE ET APPLICATIONS (MASTER)";"1";"0";"0"
"91";"13511602";"MASTER PRO CHIME SCIENCES DES MATERIAUX";"MASTER PRO";"SCIENCES, TECHNOLOGIES, SANTE : CHIMIE ET SCIENCES DES MATERIAUX (MASTER EVRY)";"1";"0";"1"
"92";"13511607";"MASTER PRO CHIMIE";"MASTER PRO";"CHIMIE (MASTER LYON 1)";"1";"0";"1"
"93";"13511608";"MASTER PRO CHIMIE";"MASTER PRO";"CHIMIE (MASTER ANGERS)";"1";"0";"1"
"94";"13511609";"MASTER PRO CHIMIE";"MASTER PRO";"CHIMIE (MASTER CHAMBERY)";"1";"0";"1"
"95";"13511610";"MASTER PRO CHIMIE";"MASTER PRO";"CHIMIE (MASTER POITIERS)";"1";"0";"1"
"96";"13511611";"MASTER PRO CHIMIE";"MASTER PRO";"CHIMIE (MASTER LORRAINE)";"1";"0";"1"
"97";"13511612";"MASTER PRO CHIMIE";"MASTER PRO";"CHIMIE (MASTER BESANCON)";"1";"0";"1"
"98";"13511613";"MASTER PRO CHIMIE";"MASTER PRO";"CHIMIE (MASTER LIMOGES)";"1";"0";"1"
"99";"13511614";"MASTER PRO CHIMIE";"MASTER PRO";"CHIMIE (MASTER)";"1";"0";"1"
"100";"13511615";"MASTER PRO CHIMIE MOLECULAIRE";"MASTER PRO";"CHIMIE MOLECULAIRE (MASTER)";"1";"0";"1"
"101";"13511704";"MASTER PRO RISQUES ET ENVIRONNEMENT";"MASTER PRO";"RISQUES ET ENVIRONNEMENT (MASTER CORSE)";"1";"0";"0"
"102";"13511709";"MASTER PRO SCIENCES TERRE PLANETES ENVIRONT";"MASTER PRO";"SCIENCES DE LA TERRE ET DES PLANETES, ENVIRONNEMENT (MASTER PARIS SACLAY)";"1";"0";"0"
"103";"13511710";"MASTER PRO SCIENCES TERRE PLANETES ENVIRONT";"MASTER PRO";"SCIENCES DE LA TERRE ET DES PLANETES, ENVIRONNEMENT (MASTER)";"1";"0";"0"
"104";"13511801";"MASTER PRO BIO-INFORMATIQUE";"MASTER PRO";"BIO-INFORMATIQUE (MASTER)";"1";"0";"1"
"105";"13511806";"MASTER PRO INGENIERIE DE LA SANTE";"MASTER PRO";"INGENIERIE DE LA SANTE (MASTER POITIERS)";"1";"0";"0"
"106";"13511813";"MASTER PRO SCIENCES DU VIVANT";"MASTER PRO";"SCIENCES DU VIVANT (MASTER)";"1";"0";"0"
"107";"13511814";"MASTER PRO SCIENCES DE l'EAU";"MASTER PRO";"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE L'EAU (MASTER MONTPELLIER)";"1";"0";"1"
"108";"13511817";"MASTER PRO BIODIVERSITE ECOLOGIE EVOLUTION";"MASTER PRO";"BIODIVERSITE, ECOLOGIE ET EVOLUTION (MASTER TOURS)";"1";"0";"1"
"109";"13511818";"MASTER PRO BIODIVERSITE ECOLOGIE EVOLUTION";"MASTER PRO";"BIODIVERSITE, ECOLOGIE ET EVOLUTION (MASTER POITIERS)";"1";"0";"1"
"110";"13511819";"MASTER PRO BIOLOGIE VEGETALE";"MASTER PRO";"BIOLOGIE VEGETALE (MASTER)";"1";"0";"1"
"111";"13511820";"MASTER PRO NEUROSCIENCES";"MASTER PRO";"NEUROSCIENCES (MASTER)";"1";"0";"0"
"112";"13511821";"MASTER PRO BIOLOGIE INTEGRATIVE PHYSIOLOGIE";"MASTER PRO";"BIOLOGIE INTEGRATIVE ET PHYSIOLOGIE (MASTER)";"1";"0";"1"
"113";"13511822";"MASTER PRO BIODIVERSITE ECOLOGIE EVOLUTION";"MASTER PRO";"BIODIVERSITE, ECOLOGIE ET EVOLUTION (MASTER)";"1";"0";"1"
"114";"13511823";"MASTER PRO BIOLOGIE MOLECULAIRE CELLULAIRE";"MASTER PRO";"BIOLOGIE MOLECULAIRE ET CELLULAIRE (MASTER)";"1";"0";"1"
"115";"13511999";"MASTER PRO MATHEMATIQUES ET SCIENCES";"MASTER PRO";"MATHEMATIQUES ET SCIENCES (MASTER PRO)";"1";"0";"0"
"116";"13512006";"MASTER PRO ACTIONS PUBQ REGULATIONS SOCIALES";"MASTER PRO";"SCIENCES DES ORGANISATIONS (DROIT, ECONOMIE, GESTION, SCIENCES SOCIALES) : ACTIONS PUBLIQUES ET REGULATIONS SOCIALES (MASTER DAUPHINE)";"1";"0";"0"
"117";"13512007";"MASTER PRO ETUDES EUROPEENNES";"MASTER PRO";"ETUDES EUROPEENNES ET INTERNATIONALES (MASTER)";"1";"0";"1"
"118";"13512008";"MASTER PRO VILLE ET ENVIRONNEMENTS URBAINS";"MASTER PRO";"VILLE ET ENVIRONNEMENTS URBAINS (MASTER)";"1";"0";"1"
"119";"13512009";"MASTER PRO ETUDES SUR LE GENRE";"MASTER PRO";"ETUDES SUR LE GENRE (MASTER)";"1";"0";"1"
"120";"13512010";"MASTER PRO ADMINISTRATION ECO ET SOCIALE";"MASTER PRO";"ADMINISTRATION ECONOMIQUE ET SOCIALE (MASTER)";"1";"0";"1"
"121";"13512011";"MASTER PRO RELATIONS INTERNATIONALES";"MASTER PRO";"RELATIONS INTERNATIONALES (MASTER)";"1";"0";"0"
"122";"13512104";"MASTER PRO GEOGRAPHIE AMENAGEMENT ENVT DVPT";"MASTER PRO";"GEOGRAPHIE, AMENAGEMENT, ENVIRONNEMENT ET DEVELOPPEMENT (MASTER PARIS 8)";"1";"0";"1"
"123";"13512105";"MASTER PRO GEOMATIQUE";"MASTER PRO";"GEOMATIQUE (MASTER)";"1";"0";"1"
"124";"13512107";"MASTER PRO GEOGRAPHIE AMENAGEMENT ENVT DVPT";"MASTER PRO";"GEOGRAPHIE, AMENAGEMENT, ENVIRONNEMENT ET DEVELOPPEMENT (MASTER BESANCON)";"1";"0";"1"
"125";"13512108";"MASTER PRO GEOGRAPHIE AMENAGEMENT ENVT DVPT";"MASTER PRO";"GEOGRAPHIE, AMENAGEMENT, ENVIRONNEMENT ET DEVELOPPEMENT (MASTER DIJON)";"1";"0";"1"
"126";"13512109";"MASTER PRO GEOGRAHIE";"MASTER PRO";"GEOGRAPHIE (MASTER)";"1";"0";"1"
"127";"13512110";"MASTER PRO GEOGRAPHIE AMENAGEMENT ENVT DVPT";"MASTER PRO";"GEOGRAPHIE, AMENAGEMENT, ENVIRONNEMENT ET DEVELOPPEMENT (MASTER)";"1";"0";"1"
"128";"13512201";"MASTER PRO ECONOMIE DES ORGANISATIONS";"MASTER PRO";"ECONOMIE DES ORGANISATIONS (MASTER GRENOBLE ALPES)";"1";"0";"1"
"129";"13512211";"MASTER PRO ECONOMIE SOCIALE ET SOLIDAIRE";"MASTER PRO";"ECONOMIE SOCIALE ET SOLIDAIRE (MASTER MULHOUSE)";"1";"0";"1"
"130";"13512219";"MASTER PRO ECONOMIE APPLIQUEE";"MASTER PRO";"ECONOMIE APPLIQUEE (MASTER PARIS 12)";"1";"0";"1"
"131";"13512220";"MASTER PRO INTELLIGENCE ECONOMIQUE";"MASTER PRO";"INTELLIGENCE ECONOMIQUE (MASTER POITIERS)";"1";"0";"0"
"132";"13512224";"MASTER PRO INTELLIGENCE ECONOMIQUE";"MASTER PRO";"INTELLIGENCE ECONOMIQUE (MASTER MARNE LA VALLEE)";"1";"0";"0"
"133";"13512225";"MASTER PRO ECONOMIE INTERNATIONALE";"MASTER PRO";"ECONOMIE INTERNATIONALE (MASTER)";"1";"0";"1"
"134";"13512226";"MASTER PRO ANALYSE POLITIQUE ECONOMIQUE";"MASTER PRO";"ANALYSE ET POLITIQUE ECONOMIQUE (MASTER SAINT ETIENNE)";"1";"0";"1"
"135";"13512227";"MASTER PRO ECONOMIE DES ORGANISATIONS";"MASTER PRO";"ECONOMIE DES ORGANISATIONS (MASTER COMUE COTE D'AZUR)";"1";"0";"1"
"136";"13512228";"MASTER PRO ECONOMETRIE, STATISTIQUES";"MASTER PRO";"ECONOMETRIE, STATISTIQUES (MASTER TOULOUSE 1)";"1";"0";"1"
"137";"13512232";"MASTER PRO ECONOMIE DU DEVELOPPEMENT";"MASTER PRO";"ECONOMIE DU DEVELOPPEMENT (MASTER)";"1";"0";"1"
"138";"13512233";"MASTER PRO ANALYSE POLITIQUE ECONOMIQUE";"MASTER PRO";"ANALYSE ET POLITIQUE ECONOMIQUE (MASTER STRASBOURG)";"1";"0";"1"
"139";"13512234";"MASTER PRO ECONOMETRIE, STATISTIQUES";"MASTER PRO";"ECONOMETRIE, STATISTIQUES (MASTER)";"1";"0";"1"
"140";"13512235";"MASTER PRO ECONOMIE ENTREPRISE ET MARCHES";"MASTER PRO";"ECONOMIE DE L'ENTREPRISE ET DES MARCHES (MASTER)";"1";"0";"1"
"141";"13512236";"MASTER PRO ECONOMIE ET MANAGEMENT PUBLICS";"MASTER PRO";"ECONOMIE ET MANAGEMENT PUBLICS (MASTER)";"1";"0";"1"
"142";"13512237";"MASTER PRO ECONOMIE APPLIQUEE";"MASTER PRO";"ECONOMIE APPLIQUEE (MASTER)";"1";"0";"1"
"143";"13512238";"MASTER PRO ECONOMIE DES ORGANISATIONS";"MASTER PRO";"ECONOMIE DES ORGANISATIONS (MASTER)";"1";"0";"1"
"144";"13512302";"MASTER PRO SCIENCES DE L'EDUCATION";"MASTER PRO";"SCIENCES DE L'EDUCATION (MASTER STRASBOURG)";"1";"0";"0"
"145";"13512303";"MASTER PRO INFORMATION, COMMUNICATION";"MASTER PRO";"INFORMATION, COMMUNICATION (MASTER CORSE)";"1";"0";"0"
"146";"13512305";"MASTER PRO DEMOGRAPHIE";"MASTER PRO";"DEMOGRAPHIE (MASTER)";"1";"0";"1"
"147";"13512306";"MASTER PRO SOCIOLOGIE";"MASTER PRO";"SOCIOLOGIE (MASTER NANTES)";"1";"0";"1"
"148";"13512310";"MASTER PRO SOCIOLOGIE";"MASTER PRO";"SOCIOLOGIE (MASTER CHAMBERY)";"1";"0";"1"
"149";"13512311";"MASTER PRO SCIENCES SOCIALES";"MASTER PRO";"SCIENCES SOCIALES (MASTER BORDEAUX)";"1";"0";"0"
"150";"13512312";"MASTER PRO SCIENCES DE L'EDUCATION";"MASTER PRO";"SCIENCES DE L'EDUCATION (MASTER DIJON)";"1";"0";"0"
"151";"13512313";"MASTER PRO SCIENCES SOCIALES";"MASTER PRO";"SCIENCES SOCIALES (MASTER)";"1";"0";"0"
"152";"13512314";"MASTER PRO SOCIOLOGIE";"MASTER PRO";"SOCIOLOGIE (MASTER)";"1";"0";"1"
"153";"13512402";"MASTER PRO PSY SOCIALE TRAVAIL ORGANISATIONS";"MASTER PRO";"PSYCHOLOGIE SOCIALE, DU TRAVAIL ET DES ORGANISATIONS (MASTER STRASBOURG)";"1";"0";"0"
"154";"13512403";"MASTER PRO PSYCHOLOGIE";"MASTER PRO";"PSYCHOLOGIE (MASTER POITIERS)";"1";"0";"0"
"155";"13512404";"MASTER PRO PSYCHOLOGIE";"MASTER PRO";"PSYCHOLOGIE (MASTER DIJON)";"1";"0";"0"
"156";"13512405";"MASTER PRO PSYCHOLOGIE";"MASTER PRO";"PSYCHOLOGIE (MASTER)";"1";"0";"0"
"157";"13512406";"MASTER PRO SCIENCES COGNITIVES";"MASTER PRO";"SCIENCES COGNITIVES (MASTER)";"1";"0";"0"
"158";"13512407";"MASTER PRO PSY SOCIALE TRAVAIL ORGANISATIONS";"MASTER PRO";"PSYCHOLOGIE SOCIALE, DU TRAVAIL ET DES ORGANISATIONS (MASTER)";"1";"0";"0"
"159";"13512504";"MASTER PRO DIDACTIQUE DES LANGUES";"MASTER PRO";"DIDACTIQUE DES LANGUES (MASTER)";"1";"0";"1"
"160";"13512604";"MASTER PRO HISTOIRE";"MASTER PRO";"HISTOIRE (MASTER ORLEANS)";"1";"0";"0"
